,place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,is_cheap,is_expensive,family,friends,kids,romantic
0,ChIJQcW8LT2tXkERLI6TYxvjLuk,Кырлай Парк Аттракционов,55.8107228,49.10055670000001,"amusement_park,point_of_interest,establishment",4.4,3201,"ул. Односторонка Гривки, 1а, Казань, Респ. Татарстан, Россия, 420066",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
1,ChIJf-EDWfWtXkERPtZ19AJuNEo,ОстровОК Развлечений,55.780915,49.213188,"amusement_park,point_of_interest,establishment",4.1,24,"просп. Победы, 141, Казань, Респ. Татарстан, Россия, 420100",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0
2,ChIJletSTBetXkERNkGZb55eYco,Лабиринт Страха,55.7895716,49.1178426,"amusement_park,point_of_interest,establishment",4.2,80,"ул. Баумана, 35, Казань, Респ. Татарстан, Россия, 420111",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
3,ChIJG4vRqG-tXkERqDP1cCu1FA0,Вход В SkyPark,55.7987928,49.1472346,"amusement_park,point_of_interest,establishment",4.2,6,"Казань, Респ. Татарстан, Россия, 420015",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
4,ChIJKWiBn2auXkERiIykY7qB1nE,Дубрава Горки,55.73313100000001,49.209045,"amusement_park,point_of_interest,establishment",4.7,91,"Респ. Татарстан, Россия, 420138",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
5,ChIJRaVJAUmsXkERV63IM3Cxu0Q,Инферно,55.753688,49.1335831,"amusement_park,point_of_interest,establishment",4.5,65,"Техническая ул., 120А, Казань, Респ. Татарстан, Россия, 420054",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
6,ChIJeUBTakKtXkERKQJZ7fKFOuk,Redbull airrace парк развлечений,55.8118,49.1076754,"amusement_park,point_of_interest,establishment",5.0,3,"Unnamed Road, Казань, Респ. Татарстан, Россия, 420066",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
7,ChIJY5skRN2tXkERDsnrj4necgU,Ледяной дворец,55.8127747,49.1043695,"amusement_park,point_of_interest,establishment",4.0,4,"Unnamed Road, Казань, Респ. Татарстан, Россия, 420066",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
8,ChIJG-qTdTutXkERzXcMAJU5FBA,Главная городская елка,55.81291849999999,49.10415889999999,"amusement_park,point_of_interest,establishment",4.7,3,"Казань, Респ. Татарстан, Россия, 420066",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
9,ChIJrUXcvg-tXkERWRY0VB_7N0g,Тики Вики,55.785470200000006,49.1262818,"amusement_park,cafe,point_of_interest,food,establishment",4.6,117,"Петербургская д. 9, ТЦ ""Республика"", Казань, Респ. Татарстан, Россия, 420107",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
10,ChIJPZErQgitXkERuiHn4hax7B4,Туган Авылым,55.779975,49.135825,"amusement_park,point_of_interest,establishment",4.5,2340,"ул. Туфана Миннуллина, 14/56, Казань, Респ. Татарстан, Россия, 420107",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
11,ChIJ0XZoW3iuXkERKClA_RyCb9w,Лабораториум,55.744374,49.192699,"amusement_park,point_of_interest,establishment",4.5,52,"д. ТРК ""Сити-Центр"" 3 этаж, ул. Хусаина Мавлютова, 45, Казань, Респ. Татарстан, Россия, 420101",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
12,ChIJSU9KaVqtXkERQbWLsxeCc88,Аквапарк Ривьера,55.81526650000001,49.1323269,"amusement_park,point_of_interest,establishment",4.5,12590,"пр. Фатыха Амирхана, 1, Казань, Респ. Татарстан, Россия, 420126",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
13,ChIJ-5QyWLZTWUERIEjkRi-DzKQ,Паутина,55.8421667,48.96950589999999,"amusement_park,point_of_interest,establishment",4.8,6,"ул. оз. Лебяжье, 3, Казань, Респ. Татарстан, Россия, 420051",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
14,ChIJ3c-STfFNWUERVeY0CMq-wqo,"Центр активного отдыха ""Милитарист""",55.897897,49.019232,"amusement_park,point_of_interest,establishment",4.5,4,"ул. Харьковская, 222, Казань, Респ. Татарстан, Россия, 420091",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
15,ChIJK_7xtyOtXkERMKHtJ8y_aqU,Барионикс,55.76830709999999,49.1019762,"amusement_park,point_of_interest,establishment",4.5,1334,"ул. Мазита Гафури, 46, Казань, Респ. Татарстан, Россия, 420108",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1
16,ChIJY3IZ7fusXkERrbAomBbdatI,Спарта пейнтбольный клуб лазертаг и верёвочный парк,55.73886210000001,49.2254125,"amusement_park,gym,park,health,point_of_interest,establishment",4.0,32,"ул. Дубравная, 2Б, Казань, Респ. Татарстан, Россия, 420108",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
17,ChIJiRcCtfmsXkERbBspHFHCLEc,FUN24,55.768199,49.102628,"bowling_alley,point_of_interest,establishment",4.3,3305,"ул. Мазита Гафури, 46, Казань, Респ. Татарстан, Россия, 420108",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,ChIJbZzPaABTWUERxy1GI4EaQY0,"Веревочный парк ""Паутина""",55.84220670000001,48.9696307,"amusement_park,park,point_of_interest,establishment",5.0,10,"ул. оз. Лебяжье, 3, Казань, Респ. Татарстан, Россия, 420004",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
19,ChIJ-44Z37WtXkERqS_57ql2F9s,Форсаж,55.76136700000001,49.156374,"point_of_interest,establishment",4.5,936,"ул. Оренбургский тракт, 5 ""Б, Казань, Респ. Татарстан, Россия, 420059",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
